trial_id,stage_num,rep_num,trial_num,chat_prompt,model_logprobs,target
1600,1,2,16,"[{'role': 'user', 'content': 'describer: graduate at lectern\nmatcher: left?\ndescriber: yes\n'}]","{'J': -1.005942702293396, 'H': -1.880942702293396, 'L': -1.880942702293396, 'D': -2.6309425830841064, 'K': -2.7559428215026855, 'F': -2.8809425830841064, 'I': -3.3809428215026855, 'A': -3.6309425830841064, 'B': -3.8809425830841064, 'C': -3.8809425830841064, 'G': -3.8809425830841064, 'E': -4.7559428215026855}",D
1601,1,2,17,"[{'role': 'user', 'content': 'describer: rabbit ears lightning bolt base looking right\n'}]","{'B': -1.8926634788513184, 'C': -2.1426634788513184, 'G': -2.2676634788513184, 'L': -2.2676634788513184, 'H': -2.3926634788513184, 'A': -2.5176634788513184, 'K': -2.6426634788513184, 'D': -2.7676634788513184, 'F': -2.7676634788513184, 'I': -2.7676634788513184, 'E': -2.8926632404327393, 'J': -3.5176634788513184}",E
1602,1,2,18,"[{'role': 'user', 'content': 'describer: seal with ball - diamond on left strange hook shape on right\n'}]","{'K': -1.6834660768508911, 'L': -1.8084661960601807, 'H': -2.1834661960601807, 'G': -2.3084659576416016, 'C': -2.4334659576416016, 'B': -2.5584661960601807, 'F': -2.8084661960601807, 'D': -2.9334659576416016, 'J': -2.9334659576416016, 'I': -3.1834661960601807, 'A': -3.4334661960601807, 'E': -3.6834661960601807}",G
1603,1,2,19,"[{'role': 'user', 'content': 'describer: mouse from beginning\ndescriber: mountain base\n'}]","{'E': -0.7304027676582336, 'F': -2.730402708053589, 'H': -2.730402708053589, 'B': -2.855402708053589, 'A': -2.980402708053589, 'C': -2.980402708053589, 'I': -2.980402708053589, 'G': -3.105402946472168, 'K': -3.230402708053589, 'L': -3.230402708053589, 'D': -3.480402708053589, 'J': -3.980402708053589}",B
1604,1,2,20,"[{'role': 'user', 'content': 'describer: indiana with diamond in top\n'}]","{'J': -0.8101029992103577, 'L': -1.435102939605713, 'K': -2.185103178024292, 'H': -2.310102939605713, 'F': -3.310102939605713, 'I': -3.935103178024292, 'G': -4.185102939605713, 'D': -4.435102939605713, 'B': -5.185102939605713, 'A': -5.310102939605713, 'C': -5.310102939605713, 'E': -6.060102939605713}",H
1605,1,2,21,"[{'role': 'user', 'content': 'describer: preacher\n'}]","{'D': -1.7504408359527588, 'H': -1.7504408359527588, 'L': -1.8754409551620483, 'J': -2.250440835952759, 'A': -2.625440835952759, 'F': -2.750440835952759, 'K': -2.750440835952759, 'C': -3.000440835952759, 'B': -3.125440835952759, 'I': -3.125440835952759, 'G': -3.500440835952759, 'E': -4.125441074371338}",C
1606,1,2,22,"[{'role': 'user', 'content': 'describer: dog with ball\n'}]","{'G': -1.2701669931411743, 'L': -1.8951668739318848, 'K': -2.145167112350464, 'H': -2.3951668739318848, 'F': -2.5201668739318848, 'C': -2.7701668739318848, 'B': -3.020167112350464, 'J': -3.270167112350464, 'E': -3.3951668739318848, 'A': -3.520167112350464, 'D': -3.520167112350464, 'I': -3.520167112350464}",K
1607,1,2,23,"[{'role': 'user', 'content': 'describer: shadow person lighting bolt base\n'}]","{'B': -1.4918835163116455, 'C': -1.8668835163116455, 'A': -1.9918835163116455, 'D': -2.2418835163116455, 'I': -2.6168835163116455, 'E': -2.7418835163116455, 'F': -2.9918835163116455, 'G': -2.9918835163116455, 'H': -3.1168835163116455, 'L': -3.2418837547302246, 'K': -3.3668835163116455, 'J': -4.116883754730225}",L
1608,1,2,24,"[{'role': 'user', 'content': 'describer: ice skater\n'}]","{'A': -0.5250543355941772, 'I': -2.150054454803467, 'D': -2.900054454803467, 'B': -3.025054454803467, 'C': -3.025054454803467, 'L': -3.275054454803467, 'E': -3.650054454803467, 'F': -4.025054454803467, 'K': -4.025054454803467, 'G': -4.275054454803467, 'H': -4.275054454803467, 'J': -4.900054454803467}",I
1609,1,3,25,"[{'role': 'user', 'content': 'describer: mouse\ndescriber: repeat mouse mountain base\n'}]","{'E': -0.785744845867157, 'I': -2.5357449054718018, 'H': -2.6607446670532227, 'B': -2.9107449054718018, 'F': -2.9107449054718018, 'K': -2.9107449054718018, 'G': -3.0357449054718018, 'A': -3.1607449054718018, 'C': -3.1607449054718018, 'L': -3.1607449054718018, 'D': -3.6607449054718018, 'J': -3.6607449054718018}",B
1610,1,3,26,"[{'role': 'user', 'content': 'describer: state with flat top diamond\n'}]","{'J': -1.1713361740112305, 'K': -1.5463361740112305, 'L': -1.9213361740112305, 'H': -2.1713361740112305, 'F': -3.0463361740112305, 'D': -3.2963361740112305, 'G': -3.2963361740112305, 'I': -3.6713361740112305, 'C': -3.7963361740112305, 'A': -4.0463361740112305, 'B': -4.0463361740112305, 'E': -5.0463361740112305}",J
1611,1,3,27,"[{'role': 'user', 'content': 'describer: dog with ball\n'}]","{'G': -1.2701669931411743, 'L': -1.8951668739318848, 'K': -2.145167112350464, 'H': -2.3951668739318848, 'F': -2.5201668739318848, 'C': -2.7701668739318848, 'B': -3.020167112350464, 'J': -3.270167112350464, 'E': -3.3951668739318848, 'A': -3.520167112350464, 'D': -3.520167112350464, 'I': -3.520167112350464}",K
1612,1,3,28,"[{'role': 'user', 'content': 'describer: shadow person lightning bolt base\n'}]","{'B': -1.5564403533935547, 'A': -1.8064403533935547, 'C': -1.8064403533935547, 'D': -2.3064403533935547, 'I': -2.5564401149749756, 'E': -2.9314403533935547, 'G': -3.0564403533935547, 'H': -3.0564403533935547, 'F': -3.1814403533935547, 'K': -3.3064403533935547, 'L': -3.3064403533935547, 'J': -4.181440353393555}",L
1613,1,3,29,"[{'role': 'user', 'content': 'describer: grad at lectern\n'}]","{'J': -0.9725841283798218, 'H': -1.9725840091705322, 'D': -2.2225842475891113, 'L': -2.5975842475891113, 'F': -2.8475842475891113, 'I': -3.0975842475891113, 'K': -3.0975842475891113, 'B': -3.2225842475891113, 'A': -3.3475842475891113, 'C': -3.4725842475891113, 'G': -3.7225842475891113, 'E': -4.222584247589111}",D
1614,1,3,30,"[{'role': 'user', 'content': 'describer: spy\n'}]","{'A': -1.7725080251693726, 'D': -2.022507905960083, 'B': -2.147507905960083, 'C': -2.147507905960083, 'L': -2.397507905960083, 'H': -2.647507905960083, 'I': -2.772507905960083, 'F': -2.897507905960083, 'G': -2.897507905960083, 'K': -3.022507905960083, 'E': -3.272507905960083, 'J': -3.397508144378662}",A
1615,1,3,31,"[{'role': 'user', 'content': 'describer: sitting grad pointed left\n'}]","{'F': -0.30062335729599, 'G': -2.9256234169006348, 'B': -3.1756234169006348, 'E': -3.3006234169006348, 'L': -3.3006234169006348, 'C': -3.9256234169006348, 'H': -3.9256234169006348, 'I': -4.425623416900635, 'J': -4.425623416900635, 'D': -4.550623416900635, 'A': -4.800623416900635, 'K': -5.175623416900635}",F
1616,1,3,32,"[{'role': 'user', 'content': 'describer: seal with ball\n'}]","{'L': -1.6885350942611694, 'K': -2.06353497505188, 'H': -2.18853497505188, 'G': -2.31353497505188, 'F': -2.43853497505188, 'B': -2.56353497505188, 'J': -2.56353497505188, 'C': -2.93853497505188, 'D': -3.06353497505188, 'I': -3.06353497505188, 'E': -3.18853497505188, 'A': -3.313535213470459}",G
1617,1,3,33,"[{'role': 'user', 'content': 'describer: preacher\n'}]","{'D': -1.7504408359527588, 'H': -1.7504408359527588, 'L': -1.8754409551620483, 'J': -2.250440835952759, 'A': -2.625440835952759, 'F': -2.750440835952759, 'K': -2.750440835952759, 'C': -3.000440835952759, 'B': -3.125440835952759, 'I': -3.125440835952759, 'G': -3.500440835952759, 'E': -4.125441074371338}",C
1618,1,3,34,"[{'role': 'user', 'content': 'describer: rabbit ears lightning base\n'}]","{'B': -2.127514362335205, 'L': -2.127514362335205, 'G': -2.252514362335205, 'H': -2.252514362335205, 'C': -2.377514362335205, 'K': -2.377514362335205, 'A': -2.627514362335205, 'E': -2.752514362335205, 'I': -2.752514362335205, 'D': -2.877514362335205, 'F': -2.877514362335205, 'J': -3.127514123916626}",E
1619,1,3,35,"[{'role': 'user', 'content': 'describer: indiana diamond\n'}]","{'L': -1.6233714818954468, 'J': -1.7483714818954468, 'H': -2.1233713626861572, 'K': -2.2483713626861572, 'I': -2.6233713626861572, 'D': -2.7483713626861572, 'F': -2.8733713626861572, 'B': -2.9983713626861572, 'A': -3.1233713626861572, 'G': -3.1233713626861572, 'C': -3.2483716011047363, 'E': -3.7483713626861572}",H
1620,1,3,36,"[{'role': 'user', 'content': 'describer: skate\n'}]","{'A': -1.3412998914718628, 'B': -2.0912997722625732, 'C': -2.0912997722625732, 'D': -2.3412997722625732, 'I': -2.4663000106811523, 'L': -2.7163000106811523, 'F': -2.9663000106811523, 'E': -3.0913000106811523, 'G': -3.0913000106811523, 'H': -3.0913000106811523, 'K': -3.4662997722625732, 'J': -4.091300010681152}",I
1621,1,4,37,"[{'role': 'user', 'content': 'describer: dog with ball\n'}]","{'G': -1.2701669931411743, 'L': -1.8951668739318848, 'K': -2.145167112350464, 'H': -2.3951668739318848, 'F': -2.5201668739318848, 'C': -2.7701668739318848, 'B': -3.020167112350464, 'J': -3.270167112350464, 'E': -3.3951668739318848, 'A': -3.520167112350464, 'D': -3.520167112350464, 'I': -3.520167112350464}",K
1622,1,4,38,"[{'role': 'user', 'content': 'describer: shadow lightning bolt\n'}]","{'B': -1.443718671798706, 'C': -1.943718671798706, 'A': -2.318718671798706, 'E': -2.443718671798706, 'I': -2.443718671798706, 'D': -2.693718671798706, 'F': -2.943718671798706, 'G': -2.943718671798706, 'H': -2.943718671798706, 'L': -2.943718671798706, 'K': -3.193718910217285, 'J': -3.818718910217285}",L
1623,1,4,39,"[{'role': 'user', 'content': 'describer: skate\n'}]","{'A': -1.3779207468032837, 'B': -2.127920627593994, 'C': -2.127920627593994, 'D': -2.377920627593994, 'I': -2.377920627593994, 'L': -2.7529208660125732, 'F': -2.877920627593994, 'E': -3.0029208660125732, 'G': -3.0029208660125732, 'H': -3.1279208660125732, 'K': -3.3779208660125732, 'J': -4.002920627593994}",I
1624,1,4,40,"[{'role': 'user', 'content': 'describer: rabbit ears\n'}]","{'L': -1.9454147815704346, 'G': -2.0704147815704346, 'K': -2.1954147815704346, 'H': -2.3204147815704346, 'B': -2.4454147815704346, 'C': -2.4454147815704346, 'A': -2.6954147815704346, 'F': -2.8204147815704346, 'J': -2.8204147815704346, 'D': -2.9454145431518555, 'I': -2.9454145431518555, 'E': -3.0704147815704346}",E
1625,1,4,41,"[{'role': 'user', 'content': 'describer: diamond flat top state\n'}]","{'J': -1.4756006002426147, 'H': -1.9756004810333252, 'K': -1.9756004810333252, 'L': -1.9756004810333252, 'D': -2.600600481033325, 'F': -2.850600481033325, 'G': -2.975600481033325, 'C': -3.1006007194519043, 'B': -3.225600481033325, 'A': -3.350600481033325, 'I': -3.350600481033325, 'E': -4.475600719451904}",J
1626,1,4,42,"[{'role': 'user', 'content': 'describer: grad lectern\n'}]","{'J': -1.6507420539855957, 'H': -1.7757420539855957, 'D': -2.0257420539855957, 'L': -2.5257420539855957, 'A': -2.7757420539855957, 'B': -2.7757420539855957, 'F': -2.7757420539855957, 'K': -2.7757420539855957, 'C': -2.9007420539855957, 'I': -3.0257420539855957, 'G': -3.2757420539855957, 'E': -3.6507420539855957}",D
1627,1,4,43,"[{'role': 'user', 'content': 'describer: sitting grad\n'}]","{'F': -0.1924276053905487, 'G': -3.317427635192871, 'L': -3.442427635192871, 'B': -3.692427635192871, 'E': -3.692427635192871, 'C': -4.442427635192871, 'H': -4.442427635192871, 'I': -4.817427635192871, 'J': -4.942427635192871, 'D': -5.067427635192871, 'A': -5.192427635192871, 'K': -5.442427635192871}",F
1628,1,4,44,"[{'role': 'user', 'content': 'describer: preacher\n'}]","{'H': -1.6916142702102661, 'D': -1.8166143894195557, 'L': -1.9416143894195557, 'J': -2.1916143894195557, 'A': -2.5666143894195557, 'K': -2.6916141510009766, 'F': -2.8166143894195557, 'C': -3.0666143894195557, 'I': -3.0666143894195557, 'B': -3.1916143894195557, 'G': -3.4416143894195557, 'E': -4.066614151000977}",C
1629,1,4,45,"[{'role': 'user', 'content': 'describer: spy\n'}]","{'A': -1.8126354217529297, 'D': -2.0626354217529297, 'B': -2.1876354217529297, 'C': -2.1876354217529297, 'L': -2.3126354217529297, 'H': -2.5626354217529297, 'F': -2.8126354217529297, 'I': -2.8126354217529297, 'G': -2.9376354217529297, 'K': -2.9376354217529297, 'E': -3.1876354217529297, 'J': -3.4376354217529297}",A
1630,1,4,46,"[{'role': 'user', 'content': 'describer: seal\n'}]","{'B': -2.012615442276001, 'E': -2.012615442276001, 'H': -2.012615442276001, 'F': -2.262615442276001, 'L': -2.262615442276001, 'G': -2.637615442276001, 'C': -2.762615442276001, 'D': -2.762615442276001, 'A': -2.887615442276001, 'I': -3.012615203857422, 'J': -3.137615442276001, 'K': -3.262615442276001}",G
1631,1,4,47,"[{'role': 'user', 'content': 'describer: mouse\n'}]","{'G': -1.9303669929504395, 'F': -2.0553669929504395, 'L': -2.0553669929504395, 'B': -2.3053669929504395, 'C': -2.4303669929504395, 'E': -2.5553669929504395, 'H': -2.5553669929504395, 'A': -2.8053672313690186, 'I': -2.9303669929504395, 'K': -2.9303669929504395, 'D': -3.0553672313690186, 'J': -3.4303669929504395}",B
1632,1,4,48,"[{'role': 'user', 'content': 'describer: indiana diamond\n'}]","{'L': -1.6232943534851074, 'J': -1.7482943534851074, 'H': -2.1232943534851074, 'K': -2.2482943534851074, 'I': -2.6232943534851074, 'D': -2.7482943534851074, 'F': -2.8732943534851074, 'B': -2.9982943534851074, 'A': -3.1232943534851074, 'G': -3.1232943534851074, 'C': -3.2482945919036865, 'E': -3.7482943534851074}",H
1633,1,5,49,"[{'role': 'user', 'content': 'describer: skate\n'}]","{'A': -1.3779207468032837, 'B': -2.127920627593994, 'C': -2.127920627593994, 'D': -2.377920627593994, 'I': -2.377920627593994, 'L': -2.7529208660125732, 'F': -2.877920627593994, 'E': -3.0029208660125732, 'G': -3.0029208660125732, 'H': -3.1279208660125732, 'K': -3.3779208660125732, 'J': -4.002920627593994}",I
1634,1,5,50,"[{'role': 'user', 'content': 'describer: spy\n'}]","{'A': -1.8126354217529297, 'D': -2.0626354217529297, 'B': -2.1876354217529297, 'C': -2.1876354217529297, 'L': -2.3126354217529297, 'H': -2.5626354217529297, 'F': -2.8126354217529297, 'I': -2.8126354217529297, 'G': -2.9376354217529297, 'K': -2.9376354217529297, 'E': -3.1876354217529297, 'J': -3.4376354217529297}",A
1635,1,5,51,"[{'role': 'user', 'content': 'describer: shadow lightning bolt\n'}]","{'B': -1.3702921867370605, 'C': -1.995292067527771, 'A': -2.3702919483184814, 'E': -2.4952921867370605, 'I': -2.4952921867370605, 'D': -2.7452921867370605, 'G': -2.8702921867370605, 'H': -2.8702921867370605, 'L': -2.8702921867370605, 'F': -2.9952921867370605, 'K': -3.2452921867370605, 'J': -3.8702921867370605}",L
1636,1,5,52,"[{'role': 'user', 'content': 'describer: seal\n'}]","{'B': -2.012615442276001, 'E': -2.012615442276001, 'H': -2.012615442276001, 'F': -2.262615442276001, 'L': -2.262615442276001, 'G': -2.637615442276001, 'C': -2.762615442276001, 'D': -2.762615442276001, 'A': -2.887615442276001, 'I': -3.012615203857422, 'J': -3.137615442276001, 'K': -3.262615442276001}",G
1637,1,5,53,"[{'role': 'user', 'content': 'describer: indiana diamond\n'}]","{'L': -1.6232943534851074, 'J': -1.7482943534851074, 'H': -2.1232943534851074, 'K': -2.2482943534851074, 'I': -2.6232943534851074, 'D': -2.7482943534851074, 'F': -2.8732943534851074, 'B': -2.9982943534851074, 'A': -3.1232943534851074, 'G': -3.1232943534851074, 'C': -3.2482945919036865, 'E': -3.7482943534851074}",H
1638,1,5,54,"[{'role': 'user', 'content': 'describer: flat top state diamond\n'}]","{'J': -1.6811497211456299, 'K': -1.6811497211456299, 'L': -1.8061497211456299, 'H': -2.05614972114563, 'D': -2.80614972114563, 'F': -2.80614972114563, 'G': -2.93114972114563, 'C': -3.18114972114563, 'I': -3.30614972114563, 'A': -3.43114972114563, 'B': -3.43114972114563, 'E': -4.431149959564209}",J
1639,1,5,55,"[{'role': 'user', 'content': 'describer: sitting grad\n'}]","{'F': -0.1924276053905487, 'G': -3.317427635192871, 'L': -3.442427635192871, 'B': -3.692427635192871, 'E': -3.692427635192871, 'C': -4.442427635192871, 'H': -4.442427635192871, 'I': -4.817427635192871, 'J': -4.942427635192871, 'D': -5.067427635192871, 'A': -5.192427635192871, 'K': -5.442427635192871}",F
1640,1,5,56,"[{'role': 'user', 'content': 'describer: preacher\n'}]","{'H': -1.6916142702102661, 'D': -1.8166143894195557, 'L': -1.9416143894195557, 'J': -2.1916143894195557, 'A': -2.5666143894195557, 'K': -2.6916141510009766, 'F': -2.8166143894195557, 'C': -3.0666143894195557, 'I': -3.0666143894195557, 'B': -3.1916143894195557, 'G': -3.4416143894195557, 'E': -4.066614151000977}",C
1641,1,5,57,"[{'role': 'user', 'content': 'describer: mouse\n'}]","{'G': -1.9735417366027832, 'F': -2.098541736602783, 'L': -2.098541736602783, 'B': -2.348541498184204, 'C': -2.348541498184204, 'E': -2.473541736602783, 'H': -2.473541736602783, 'A': -2.848541736602783, 'K': -2.848541736602783, 'I': -2.973541498184204, 'D': -3.098541736602783, 'J': -3.348541736602783}",B
1642,1,5,58,"[{'role': 'user', 'content': 'describer: grad lectern\n'}]","{'J': -1.696868896484375, 'H': -1.8218687772750854, 'D': -1.946868896484375, 'L': -2.571868896484375, 'B': -2.696868658065796, 'K': -2.696868658065796, 'A': -2.821868896484375, 'C': -2.821868896484375, 'F': -2.821868896484375, 'I': -3.071868896484375, 'G': -3.196868896484375, 'E': -3.696868896484375}",D
1643,1,5,59,"[{'role': 'user', 'content': 'describer: dog ball\ndescriber: diamond on nose dog on hind legs\n'}]","{'G': -1.5074323415756226, 'F': -2.007432222366333, 'H': -2.132432222366333, 'L': -2.257432222366333, 'C': -2.507432222366333, 'K': -2.507432222366333, 'B': -2.882432222366333, 'E': -2.882432222366333, 'D': -3.257432460784912, 'I': -3.257432460784912, 'A': -3.382432222366333, 'J': -3.507432222366333}",K
1644,1,5,60,"[{'role': 'user', 'content': 'describer: rabbit ears\n'}]","{'G': -2.0269205570220947, 'L': -2.0269205570220947, 'K': -2.1519205570220947, 'H': -2.2769205570220947, 'B': -2.4019205570220947, 'C': -2.4019205570220947, 'A': -2.6519203186035156, 'F': -2.7769205570220947, 'J': -2.9019205570220947, 'D': -3.0269203186035156, 'I': -3.0269203186035156, 'E': -3.1519205570220947}",E
1645,1,6,61,"[{'role': 'user', 'content': 'describer: indiana\n'}]","{'L': -1.6991591453552246, 'H': -2.1991591453552246, 'B': -2.3241591453552246, 'I': -2.3241591453552246, 'A': -2.4491591453552246, 'D': -2.4491591453552246, 'F': -2.6991591453552246, 'C': -2.8241593837738037, 'J': -2.9491591453552246, 'K': -2.9491591453552246, 'E': -3.0741591453552246, 'G': -3.0741591453552246}",H
1646,1,6,62,"[{'role': 'user', 'content': 'describer: shadow lightning\n'}]","{'B': -1.8588228225708008, 'A': -2.108822822570801, 'C': -2.233822822570801, 'L': -2.358822822570801, 'D': -2.483822822570801, 'H': -2.483822822570801, 'I': -2.483822822570801, 'E': -2.733822822570801, 'F': -2.858822822570801, 'K': -2.858822822570801, 'G': -2.983822822570801, 'J': -3.483822822570801}",L
1647,1,6,63,"[{'role': 'user', 'content': 'describer: sitting grad\ndescriber: grad\n'}]","{'F': -0.3352329730987549, 'L': -2.835232973098755, 'G': -2.960232973098755, 'B': -3.335232973098755, 'E': -3.460232973098755, 'H': -3.585232973098755, 'C': -4.085232734680176, 'D': -4.335232734680176, 'J': -4.335232734680176, 'I': -4.460232734680176, 'K': -4.460232734680176, 'A': -4.585232734680176}",F
1648,1,6,64,"[{'role': 'user', 'content': 'describer: dog and ball -\n'}]","{'G': -1.1723575592041016, 'L': -1.9223575592041016, 'H': -2.2973575592041016, 'K': -2.2973575592041016, 'F': -2.5473575592041016, 'C': -2.6723575592041016, 'B': -3.1723575592041016, 'E': -3.2973575592041016, 'J': -3.4223575592041016, 'I': -3.5473575592041016, 'D': -3.6723575592041016, 'A': -3.7973575592041016}",K
1649,1,6,65,"[{'role': 'user', 'content': 'describer: seal\n'}]","{'B': -1.991673469543457, 'E': -1.991673469543457, 'H': -1.991673469543457, 'F': -2.241673469543457, 'L': -2.366673469543457, 'C': -2.741673469543457, 'D': -2.741673469543457, 'G': -2.741673469543457, 'A': -2.866673469543457, 'I': -2.991673469543457, 'J': -3.116673469543457, 'K': -3.241673469543457}",G
