trialNum,repNum,gameId,tangram,playerId,role,numPlayers,text,condition,realCorrect,targetNum,activePlayerCount,spans,span_offsets,raw_spans
3,0,LzNv7CD7gRuxpk7cQ,J,ePuHpSEgEgZdLy5Hp,speaker,3,head in the centre,3_rotate,2,3,NA,"[{""span"":""head in the centre"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[0,18]]","""head in the centre"" METAPHOR HOLISTIC"
3,0,LzNv7CD7gRuxpk7cQ,J,5beKfX6iGcYFWgGg5,listener,3,is he pointing right,3_rotate,2,3,NA,"[{""span"":""pointing right"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[6,20]]","""pointing right"" METAPHOR PART"
3,0,LzNv7CD7gRuxpk7cQ,J,MrNX5Si499ovSY845,listener,3,Is the square for the head like a diamond,3_rotate,2,3,NA,"[{""span"":""like a diamond"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""square"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":"" for the head"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[27,41],[7,13],[13,26]]","""square for the head"" METAPHOR PART  
""like a diamond"" METAPHOR PART"
3,0,LzNv7CD7gRuxpk7cQ,J,ePuHpSEgEgZdLy5Hp,speaker,3,top are left of body are straight lines,3_rotate,2,3,NA,"[{""span"":""straight lines"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""top are left of body "",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[25,39],[0,21]]","""top"" LITERAL PART  
""left"" LITERAL PART  
""body"" METAPHOR HOLISTIC  
""straight lines"" LITERAL PART"
3,0,LzNv7CD7gRuxpk7cQ,J,ePuHpSEgEgZdLy5Hp,speaker,3,make a right angle,3_rotate,2,3,NA,"[{""span"": ""right angle"", ""literal_metaphor"": ""literal"", ""part_holistic"": ""part_based""}]","[[7, 18]]","""right angle"" LITERAL PART"
3,0,LzNv7CD7gRuxpk7cQ,J,MrNX5Si499ovSY845,listener,3,Does it look like a candle,3_rotate,2,3,NA,"[{""span"": ""look like a candle"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[8, 26]]","""look like a candle"" METAPHOR HOLISTIC"
3,0,LzNv7CD7gRuxpk7cQ,J,ePuHpSEgEgZdLy5Hp,speaker,3,then right side is zig zag,3_rotate,2,3,NA,"[{""span"":""right side"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""zig zag"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""}]","[[5,15],[19,26]]","""right side"" METAPHOR PART  
""zig zag"" LITERAL PART"
67,5,Z2WAkYpWiXwuGcdME,G,R3cRgh4HmEtRsmQyp,speaker,2,square bunny,2_thick,1,7,2,"[{""span"":""square"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""bunny"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[0,6],[7,12]]","""square"" LITERAL PART  
""bunny"" METAPHOR PART"
4,0,GWCD2NGoiA2n5Wh2i,F,Z6TmKzSh7SAQns8Sg,speaker,6,"anyway this guy looks like they're sitting, legs to the left",6_thick,5,4,6,"[{""span"":""looks like they're sitting"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""legs to the left"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""this guy"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[16,42],[44,60],[7,15]]","""looks like they're sitting"" METAPHOR HOLISTIC  
""legs to the left"" LITERAL PART"
4,0,GWCD2NGoiA2n5Wh2i,F,3J4RLFqgNJW7BsT9G,listener,6,head tilted down towards legs,6_thick,5,4,6,"[{""span"":""head tilted down"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""towards legs"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[0,16],[17,29]]","""head tilted down"" METAPHOR PART  
""towards legs"" LITERAL PART"
4,0,GWCD2NGoiA2n5Wh2i,F,7CNcmu99Gs4McbRom,listener,6,"reclining, with the head tilted slightly forward",6_thick,5,4,6,"[{""span"":""reclining"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""the head tilted slightly forward"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[0,9],[16,48]]","""reclining"" METAPHOR HOLISTIC  
""head"" METAPHOR PART  
""tilted"" LITERAL PART  
""forward"" LITERAL PART"
9,0,MDLyuv29jevaGLSeT,C,MKCTjgM8AFzBJaAuA,speaker,6,"This person looks like they are flying, both arms are extended (one on each side of them) and their body is pointed to the right",6_thin,5,9,6,"[{""span"":""This person"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""they are flying"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""both arms are extended"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""one on each side of them"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""their body is pointed to the right"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[0,11],[23,38],[40,62],[64,88],[94,128]]","""This person"" METAPHOR HOLISTIC  
""looks like"" METAPHOR METAPHOR  
""they are flying"" METAPHOR METAPHOR  
""both arms are extended"" PART PART  
""one on each side of them"" PART PART  
""their body is pointed to the right"" PART PART"
43,3,rSMFkjhskBteiyQMB,L,o7s7B6kZLqvaG62N4,speaker,4,"sermon speaker, with bent knees",4_rotate,3,7,NA,"[{""span"": ""sermon speaker"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}, {""span"": ""bent knees"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""part_based""}]","[[0, 14], [21, 31]]","""sermon speaker"" METAPHOR HOLISTIC  
""bent knees"" METAPHOR PART"
24,2,BTbGhXZvjdSFubTBg,E,WXmyGwByDtSr3gTyk,speaker,6,rabbit ears guy,6_thick,5,0,6,"[{""span"":""rabbit ears"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""guy"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[0,11],[12,15]]","""rabbit ears"" METAPHOR PART"
66,5,MEJ8y7jRW4947MPrH,D,sLmWkpuX6yKjgpnPQ,speaker,6,priest,full_feedback,5,6,NA,"[{""span"": ""priest"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[0, 6]]","""priest"" METAPHOR HOLISTIC"
15,1,BTbGhXZvjdSFubTBg,G,WXmyGwByDtSr3gTyk,speaker,6,The one doing the dramatic yoga pose,6_thick,4,3,6,"[{""span"": ""dramatic yoga pose"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[18, 36]]","""The one"" HOLISTIC PART  
""dramatic yoga pose"" METAPHOR HOLISTIC"
15,1,BTbGhXZvjdSFubTBg,G,teS8cAZWPXbdKTZP4,listener,6,I don't know that one,6_thick,4,3,6,[],[],"don't know  METAPHOR  HOLISTIC  
that one  LITERAL  PART"
15,1,BTbGhXZvjdSFubTBg,G,9nyyLZ9PJhX7LnAx7,listener,6,The ice skater,6_thick,4,3,6,"[{""span"": ""The ice skater"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[0, 14]]","""The ice skater"" METAPHOR HOLISTIC"
15,1,BTbGhXZvjdSFubTBg,G,WXmyGwByDtSr3gTyk,speaker,6,one arm in front one leg in front,6_thick,4,3,6,"[{""span"": ""one arm in front"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""part_based""}, {""span"": ""one leg in front"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""part_based""}]","[[0, 16], [17, 33]]","""one arm in front"" METAPHOR PART  
""one leg in front"" METAPHOR PART"
15,1,BTbGhXZvjdSFubTBg,G,WXmyGwByDtSr3gTyk,speaker,6,not the ice skater,6_thick,4,3,6,"[{""span"": ""ice skater"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[8, 18]]","""ice skater"" METAPHOR HOLISTIC"
15,1,BTbGhXZvjdSFubTBg,G,YZav64FB85yPmwMCq,listener,6,Like kung fu from the side,6_thick,4,3,6,"[{""span"":""kung fu from the side"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[5,26]]","""Like kung fu"" METAPHOR HOLISTIC  
""from the side"" LITERAL PART"
15,1,BTbGhXZvjdSFubTBg,G,teS8cAZWPXbdKTZP4,listener,6,Like he's doing a dance from Disturbia lol,6_thick,4,3,6,"[{""span"":""he's doing a dance from Disturbia "",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[5,39]]","""Like he's doing"" METAPHOR HOLISTIC  
""dance from"" LITERAL PART  
""Disturbia"" LITERAL PART  
""lol"""
44,3,GWCD2NGoiA2n5Wh2i,I,3J4RLFqgNJW7BsT9G,listener,6,Sitting man,6_thick,5,8,6,"[{""span"": ""Sitting man"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[0, 11]]","""Sitting man"" METAPHOR HOLISTIC"
44,3,GWCD2NGoiA2n5Wh2i,I,Z6TmKzSh7SAQns8Sg,speaker,6,"this one is the ice skater! one leg up and pointing to the right, one on the ground with foot pointing to the left",6_thick,5,8,6,"[{""span"":""the ice skater"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""one leg up and pointing to the right,"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""one on the ground"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""foot pointing to the left"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[12,26],[28,65],[66,83],[89,114]]","this one is the ice skater! METAPHOR HOLISTIC  
ice skater METAPHOR HOLISTIC  
one leg up METAPHOR PART  
one leg METAPHOR PART  
pointing to the right LITERAL PART  
pointing to the left LITERAL PART  
one on the ground METAPHOR PART  
foot pointing to the left LITERAL PART  
foot pointing METAPHOR PART"
33,2,GWCD2NGoiA2n5Wh2i,G,3J4RLFqgNJW7BsT9G,listener,6,flying man (or fainting man),6_thick,5,9,6,"[{""span"": ""flying man"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}, {""span"": ""(or fainting man)"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[0, 10], [11, 28]]","""flying man"" METAPHOR HOLISTIC  
""(or fainting man)"" METAPHOR HOLISTIC"
33,2,GWCD2NGoiA2n5Wh2i,G,QgoNBGkyARtJgkjBG,listener,6,i like flying,6_thick,5,9,6,"[{""span"": ""flying"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[7, 13]]","""flying"" METAPHOR HOLISTIC"
33,2,GWCD2NGoiA2n5Wh2i,G,7CNcmu99Gs4McbRom,listener,6,"yeah, flying is good",6_thick,5,9,6,"[{""span"": ""flying"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[6, 12]]","""flying"" METAPHOR HOLISTIC"
33,2,GWCD2NGoiA2n5Wh2i,G,Z6TmKzSh7SAQns8Sg,speaker,6,"i don't know if we have a name for this one head leaning forward and to the left (he looks bummed), with tiny pointy triangle below it, also facing left",6_thick,5,9,6,"[{""span"":""head leaning forward and to the left "",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""he looks bummed"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""tiny pointy triangle below it"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""facing left"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[44,81],[82,97],[105,134],[141,152]]","don't know if we have a name for this one  METAPHOR  HOLISTIC  
head leaning forward  METAPHOR  PART  
and to the left  LITERAL  PART  
he looks bummed  METAPHOR  HOLISTIC  
with tiny pointy triangle  LITERAL  PART  
below it  LITERAL  PART  
also facing left  LITERAL  PART"
33,2,GWCD2NGoiA2n5Wh2i,G,Z6TmKzSh7SAQns8Sg,speaker,6,"distinct triangle on the right, sort of hanging off",6_thick,5,9,6,"[{""span"":""distinct triangle on the right, sort of hanging off"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""}]","[[0,51]]","""distinct triangle"" LITERAL PART  
""on the right"" LITERAL PART  
""sort of hanging off"" METAPHOR HOLISTIC"
33,2,GWCD2NGoiA2n5Wh2i,G,3J4RLFqgNJW7BsT9G,listener,6,bottom triangle on right,6_thick,5,9,6,"[{""span"":""bottom triangle on right"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""}]","[[0,24]]","""bottom triangle"" LITERAL PART
""right"" LITERAL PART"
33,2,GWCD2NGoiA2n5Wh2i,G,Z6TmKzSh7SAQns8Sg,speaker,6,"yeah, distinct triangle on bottom right and top right",6_thick,5,9,6,"[{""span"": ""distinct triangle"", ""literal_metaphor"": ""literal"", ""part_holistic"": ""part_based""}, {""span"": ""on bottom right"", ""literal_metaphor"": ""literal"", ""part_holistic"": ""part_based""}, {""span"": ""and top right"", ""literal_metaphor"": ""literal"", ""part_holistic"": ""part_based""}]","[[6, 23], [24, 39], [40, 53]]","""distinct triangle"" LITERAL PART  
""on bottom right"" LITERAL PART  
""and top right"" LITERAL PART"
33,2,GWCD2NGoiA2n5Wh2i,G,QgoNBGkyARtJgkjBG,listener,6,maybe bummed dude,6_thick,5,9,6,"[{""span"": ""bummed dude"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[6, 17]]","""bummed dude"" METAPHOR HOLISTIC"
33,2,GWCD2NGoiA2n5Wh2i,G,3J4RLFqgNJW7BsT9G,listener,6,going to call it bummed man with triangle butt,6_thick,5,9,6,"[{""span"":""bummed man"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""triangle"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""butt"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[17,27],[33,41],[42,46]]","""bummed man"" METAPHOR HOLISTIC  
""triangle butt"" LITERAL PART"
33,2,GWCD2NGoiA2n5Wh2i,G,9QmKZcuPiHgYsxSQX,listener,6,looks like the person who would be catching the ice skater if they were doing pairs,6_thick,5,9,6,"[{""span"":""the person who would be catching the ice skater if they were doing pairs"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[11,83]]","""looks like the person who would be catching the ice skater"" METAPHOR HOLISTIC  
""ice skater"" METAPHOR PART"
55,4,BTbGhXZvjdSFubTBg,H,WXmyGwByDtSr3gTyk,speaker,6,sitting no arms and legs to one side I will call them Kevin,6_thick,5,7,6,"[{""span"":""sitting"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":"" I will call them Kevin"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""no arms"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""legs to one side"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[0,7],[36,59],[8,15],[20,36]]","""sitting"" METAPHOR HOLISTIC  
""no arms and legs"" LITERAL PART  
""to one side"" LITERAL PART  
""I will call them"" HOLISTIC PART  
""Kevin"" HOLISTIC PART"
55,4,BTbGhXZvjdSFubTBg,H,teS8cAZWPXbdKTZP4,listener,6,<3 Kevin,6_thick,5,7,6,"[{""span"":""<3 Kevin"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[0,8]]",<3 Kevin METAPHOR HOLISTIC
55,4,BTbGhXZvjdSFubTBg,H,j9qfbLnF9TpFABZaJ,listener,6,bb kevin,6_thick,5,7,6,"[{""span"":""bb kevin"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[0,8]]","""bb kevin"" HOLISTIC PART"
65,5,22dyGMRgestp8u5Lc,B,zbNWfn7CxR9SSytWA,speaker,2,baby with bow on back of head,2_thin,1,5,2,"[{""span"":""baby"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""bow on back of head"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[0,4],[10,29]]","""baby"" METAPHOR HOLISTIC  
""bow on back of head"" LITERAL PART"
41,3,Z2WAkYpWiXwuGcdME,A,R3cRgh4HmEtRsmQyp,speaker,2,two head guy,2_thick,1,5,2,"[{""span"":""two head"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""guy"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[0,8],[9,12]]","""two head guy"" METAPHOR HOLISTIC"
68,5,22dyGMRgestp8u5Lc,K,zbNWfn7CxR9SSytWA,speaker,2,"priest kneeling, heel up, facing right",2_thin,1,8,2,"[{""span"":""priest kneeling"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""heel up,"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""facing right"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[0,15],[17,25],[26,38]]","""priest"" METAPHOR HOLISTIC  
""kneeling"" METAPHOR PART  
""heel"" METAPHOR PART  
""up"" LITERAL PART  
""right"" LITERAL PART"
41,3,GWCD2NGoiA2n5Wh2i,K,3J4RLFqgNJW7BsT9G,listener,6,Flying man,6_thick,4,5,6,"[{""span"": ""Flying man"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[0, 10]]","""Flying man"" METAPHOR HOLISTIC"
41,3,GWCD2NGoiA2n5Wh2i,K,Z6TmKzSh7SAQns8Sg,speaker,6,"double diamond, triangle at the bottom left that is pointing up",6_thick,4,5,6,"[{""span"":""double diamond"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""triangle at the bottom left"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""that is pointing up"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""}]","[[0,14],[16,43],[44,63]]","""double diamond"" METAPHOR HOLISTIC  
""triangle at the bottom left"" LITERAL PART  
""that is pointing up"" LITERAL PART"
41,3,GWCD2NGoiA2n5Wh2i,K,7CNcmu99Gs4McbRom,listener,6,I think Flying man is like Neo from the Matrix but it's all good,6_thick,4,5,6,"[{""span"":""Flying man is like Neo from the Matrix"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[8,46]]","""I think"" HOLISTIC PART  
""Flying man"" METAPHOR HOLISTIC  
""like"" LITERAL PART  
""Neo from the Matrix"" METAPHOR HOLISTIC  
""but"" PART  
""it's all good"" HOLISTIC PART"
41,3,GWCD2NGoiA2n5Wh2i,K,3J4RLFqgNJW7BsT9G,listener,6,Johnny 5!,6_thick,4,5,6,"[{""span"": ""Johnny 5"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[0, 8]]","""Johnny 5"" METAPHOR HOLISTIC"
18,1,zviCQXNM4xWoYTmoY,L,Q5Bs5Daz3vBi66sSW,speaker,6,"bending knees, facing right, arms out in front",no_rotate,5,6,NA,"[{""span"":""bending knees"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""facing right"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""arms out in front"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[0,13],[15,27],[29,46]]","""bending knees"" METAPHOR PART  
""facing right"" LITERAL PART  
""arms out in front"" LITERAL PART"
8,0,BTbGhXZvjdSFubTBg,C,WXmyGwByDtSr3gTyk,speaker,6,a person flying,6_thick,5,8,6,"[{""span"": ""a person flying"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[0, 15]]","""a person flying"" METAPHOR HOLISTIC"
8,0,BTbGhXZvjdSFubTBg,C,9nyyLZ9PJhX7LnAx7,listener,6,"no legs hands up in the air like ""I DON'T KNOW!""",6_thick,5,8,6,"[{""span"":""legs"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""hands up in the air like \""I DON'T KNOW!\"""",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[3,7],[8,48]]","""legs"" METAPHOR PART  
""hands up"" METAPHOR PART  
""in the air"" LITERAL PART  
""like"" LITERAL PART  
""I DON'T KNOW!"" LITERAL HOLISTIC"
8,0,BTbGhXZvjdSFubTBg,C,j9qfbLnF9TpFABZaJ,listener,6,no legs huh,6_thick,5,8,6,"[{""span"": ""no legs"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""part_based""}]","[[0, 7]]","""no legs"" METAPHOR PART"
8,0,BTbGhXZvjdSFubTBg,C,teS8cAZWPXbdKTZP4,listener,6,Is he at a concert with his hands in the air like he just doesn't care,6_thick,5,8,6,"[{""span"":""at a concert"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""with his hands in the air"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""like he just doesn't care"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[6,18],[19,44],[45,70]]","""at a concert"" LITERAL PART  
""with his hands in the air"" METAPHOR PART  
""like he just doesn't care"" METAPHOR HOLISTIC"
8,0,BTbGhXZvjdSFubTBg,C,WXmyGwByDtSr3gTyk,speaker,6,no legs,6_thick,5,8,6,"[{""span"": ""no legs"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""part_based""}]","[[0, 7]]","""no legs"" METAPHOR PART"
8,0,BTbGhXZvjdSFubTBg,C,j9qfbLnF9TpFABZaJ,listener,6,"""SUE ME""",6_thick,5,8,6,"[{""span"": ""SUE ME"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[1, 7]]","""SUE ME"" METAPHOR HOLISTIC"
8,0,BTbGhXZvjdSFubTBg,C,9nyyLZ9PJhX7LnAx7,listener,6,Angry skeleton meme pose,6_thick,5,8,6,"[{""span"":""Angry skeleton meme pose"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[0,24]]","""Angry skeleton"" METAPHOR HOLISTIC  
""meme pose"" LITERAL PART"
20,1,MEJ8y7jRW4947MPrH,E,o6obBbzzSPJE34pKb,speaker,6,bunny ear guy,full_feedback,5,8,NA,"[{""span"":""bunny ear"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":"" guy"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[0,9],[9,13]]","""bunny ear guy"" METAPHOR HOLISTIC"
49,4,LzNv7CD7gRuxpk7cQ,D,MrNX5Si499ovSY845,speaker,3,Man reading book standing facing left,3_rotate,2,1,NA,"[{""span"":""reading book"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""standing"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""facing left"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""Man"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[4,16],[17,25],[26,37],[0,3]]","""reading book"" METAPHOR PART  
""standing"" METAPHOR PART  
""facing left"" LITERAL PART"
18,1,Z2WAkYpWiXwuGcdME,E,R3cRgh4HmEtRsmQyp,speaker,2,"rabbit with triangle ears, kind of lying down",2_thick,1,6,2,"[{""span"":""rabbit"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""lying down"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""triangle "",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""ears"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[0,6],[35,45],[12,21],[21,25]]","""rabbit"" METAPHOR HOLISTIC  
""triangle ears"" LITERAL PART  
""lying down"" METAPHOR PART"
